Airline,Date_of_Journey,Source,Destination,Route,Additional_Info,Price,Duration_in_mins,Month_of_Journey,Dep_Time_in_htclass,Day_of_Journey,Totalno_Stops
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,3897,170,March,night,Sunday,0
Air India,01/05/2019,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,No Info,7662,445,January,early morning,Saturday,2
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,No Info,13882,1140,September,late morning,Friday,2
IndiGo,12/05/2019,Kolkata,Banglore,CCU ? NAG ? BLR,No Info,6218,325,December,evening,Thursday,1
IndiGo,01/03/2019,Banglore,New Delhi,BLR ? NAG ? DEL,No Info,13302,285,January,evening,Thursday,1
SpiceJet,24/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,145,June,late morning,Monday,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,11087,930,December,evening,Tuesday,1
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,22270,1265,January,late morning,Thursday,1
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,11087,1530,December,late morning,Tuesday,1
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8625,470,May,late morning,Monday,1
Air India,01/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,8907,795,January,late morning,Sunday,1
IndiGo,18/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4174,155,April,night,Thursday,0
Air India,24/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,4667,135,June,late morning,Monday,0
Jet Airways,09/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9663,730,September,night,Thursday,1
IndiGo,24/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,155,April,evening,Wednesday,0
Air India,03/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,14011,1595,March,evening,Sunday,2
SpiceJet,15/04/2019,Delhi,Cochin,DEL ? PNQ ? COK,No Info,5830,270,April,late morning,Monday,1
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1355,December,afternoon,Friday,1
Air India,12/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,No Info,13381,1380,December,night,Friday,2
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,1235,May,evening,Monday,1
GoAir,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,19495,310,June,afternoon,Monday,1
Air India,21/03/2019,Banglore,New Delhi,BLR ? COK ? DEL,No Info,6955,920,March,night,Thursday,1
IndiGo,03/04/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,170,March,early morning,Monday,0
IndiGo,01/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,175,January,evening,Saturday,0
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7757,800,June,evening,Wednesday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,No Info,13292,910,September,night,Friday,2
IndiGo,01/06/2019,Delhi,Cochin,DEL ? LKO ? COK,No Info,8238,345,January,night,Sunday,1
GoAir,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7682,355,May,early morning,Wednesday,1
Vistara,18/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4668,170,June,late morning,Tuesday,0
Vistara,15/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3687,135,June,early morning,Saturday,0
Vistara,18/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3687,135,June,early morning,Tuesday,0
Air India,01/05/2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,No Info,13227,805,January,late morning,Saturday,2
IndiGo,06/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4423,170,June,early morning,Tuesday,0
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,In-flight meal not included,10919,1320,June,afternoon,Saturday,2
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12373,330,May,early morning,Saturday,1
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5894,625,June,late morning,Thursday,1
